Channel,Time,Pressure
0,0,1.5e-8
1,5,1.15e-8
2,10,9.63e-9
3,12,9.00e-9
4,14,8.57e-9
5,16,8.02e-9
6,18,7.7e-9
7,20,7.27e-9
8,22,2.23e-8
9,24,1.7e-8
10,26,1.44e-8
11,28,6.63e-9
12,30,6.16e-9
13,32,5.69e-9
14,34,5.45e-9
15,36,5.15e-9
16,38,5.00e-9
17,40,7.25e-9
18,42,7.65e-9
19,44,5.06e-9
20,46,4.33e-9
21,48,4.10e-9
22,50,4.84e-9
23,52,5.52e-9
24,54,5.76e-9
25,56,4.41e-9
26,58,3.45e-9
27,60,3.26e-9
28,62,3.13e-9
29,64,3.0e-9
30,66,2.89e-9
31,68,2.78e-9
32,70,2.68e-9
33,72,3.62e-9
34,74,3.78e-9
35,76,3.84e-9
36,78,2.4e-9
37,80,2.26e-9
38,82,2.11e-9
39,84,2.03e-9
40,86,1.94e-9
41,88,1.86e-9
42,90,1.87e-9
43,92,1.84e-9
44,94,1.79e-9
45,96,1.72e-9
46,98,1.67e-9
47,100,1.63e-9
48,102,1.57e-9
49,104,1.56e-9
50,106,1.53e-9
51,108,1.51e-9
52,110,1.47e-9
53,112,1.43e-9
54,114,1.39e-9
55,116,1.34e-9
56,118,1.31e-9
57,120,1.27e-9
58,122,1.23e-9
59,124,1.21e-9
60,126,1.19e-9
61,128,1.16e-9
62,130,1.13e-9
63,132,1.11e-9
64,134,1.08e-9
65,136,1.05e-9